SPECIES,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,SITE,ELV,ASPECT,DEPTH,SLOPE
LUPARG,2,0,0,1,1,0,0,0,2,0,0,0,492,915,5,98,25
NF,6,5,5,4,4,4,6,2,4,2,3,3,492,915,5,98,25
NGRS,0,0,1,0,0,0,0,0,0,0,0,0,492,915,5,98,25
NNGRS,4,4,5,5,4,4,4,5,4,5,4,2,492,915,5,98,25
PINPON,0,0,0,0,0,0,0,0,0,0,2,6,492,915,5,98,25
POTARG,1,3,0,0,0,0,0,0,0,0,0,0,492,915,5,98,25
POTGRA,0,1,1,0,0,0,0,1,2,1,2,0,492,915,5,98,25
ROSA,0,0,0,0,0,0,0,0,0,3,0,2,492,915,5,98,25
SENINT,0,0,0,0,0,0,0,0,0,0,1,0,492,915,5,98,25
SHRB,2,2,1,2,2,0,2,3,2,3,3,6,492,915,5,98,25
SPIBET,0,0,0,0,0,0,0,0,1,0,1,0,492,915,5,98,25
SYMALB,2,2,1,2,2,0,2,3,1,0,4,3,492,915,5,98,25
ACHMIL,0,1,0,0,0,0,0,0,0,0,0,0,529,753,66,108.25,22
ARNICA,0,0,0,0,1,0,0,0,0,0,0,0,529,753,66,108.25,22
BRAALB,0,0,0,0,0,0,0,1,0,2,0,0,529,753,66,108.25,22
BROHOR,1,0,0,0,1,2,5,0,2,0,0,0,529,753,66,108.25,22
BROSTE,0,0,0,0,0,0,1,0,0,0,0,0,529,753,66,108.25,22
BSC,0,0,0,0,0,0,0,1,0,5,0,0,529,753,66,108.25,22
CALELE,1,0,0,0,0,0,0,0,0,0,0,0,529,753,66,108.25,22
CARGEY,4,5,5,5,3,4,0,4,0,0,3,6,529,753,66,108.25,22
CLAFIM,0,0,0,0,0,0,0,0,0,2,0,0,529,753,66,108.25,22
CLAPER,0,0,0,0,0,0,0,0,1,0,1,0,529,753,66,108.25,22
DICTAU,0,0,0,0,0,0,0,0,0,4,0,0,529,753,66,108.25,22
ELYTRA,1,1,0,0,0,0,1,1,0,0,2,0,529,753,66,108.25,22
EPILOBIUM,0,0,0,1,2,2,2,0,0,0,0,0,529,753,66,108.25,22
FRAVIR,2,0,0,0,0,0,0,0,0,0,0,0,529,753,66,108.25,22
GALAPA,1,1,1,1,0,0,2,1,3,0,3,2,529,753,66,108.25,22
GALBOR,0,0,0,0,1,2,0,0,0,0,0,0,529,753,66,108.25,22
HYDCAP,0,0,0,0,0,0,0,1,0,0,0,0,529,753,66,108.25,22
LATBIJ,1,0,0,0,0,0,0,0,0,0,0,0,529,753,66,108.25,22
LT,6,6,6,6,6,6,6,6,6,6,6,6,529,753,66,108.25,22
LUPINUS,0,2,3,0,4,1,0,1,0,0,0,0,529,753,66,108.25,22
MICGRA,0,1,0,0,0,0,1,0,0,0,0,0,529,753,66,108.25,22
MYOARV,0,0,0,0,0,0,0,0,0,0,0,1,529,753,66,108.25,22
NF,3,3,4,2,5,4,3,2,3,0,3,2,529,753,66,108.25,22
NGRS,4,5,5,5,3,4,1,4,0,0,3,6,529,753,66,108.25,22
NNF,2,1,1,1,5,4,2,2,3,0,1,1,529,753,66,108.25,22
