SPECIES,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,SITE,ELV,ASPECT,DEPTH,SLOPE
NGRS,0,0,0,1,3,4,1,1,2,0,0,0,1081a,918,124,50,3
NNF,0,0,0,0,0,0,0,0,1,0,0,0,1081a,918,124,50,3
NNGRS,5,6,6,5,4,3,5,1,3,3,5,6,1081a,918,124,50,3
PHLVIS,0,0,0,0,0,0,1,0,0,0,0,0,1081a,918,124,50,3
POABUL,1,1,2,1,1,1,1,1,1,1,1,1,1081a,918,124,50,3
PSESPI,0,0,0,0,3,4,1,0,1,0,0,0,1081a,918,124,50,3
VENDUB,2,3,2,3,2,2,2,0,0,0,2,3,1081a,918,124,50,3
ACHMIL,0,0,1,0,1,0,1,1,0,0,0,0,1091a,884,325,108.75,20
BALSAG,0,0,3,2,0,0,0,0,0,0,0,0,1091a,884,325,108.75,20
BG,4,0,0,0,0,0,0,2,0,0,0,0,1091a,884,325,108.75,20
BRAALB,0,2,0,0,0,0,0,0,0,0,0,0,1091a,884,325,108.75,20
BRORAC,0,0,0,0,0,0,0,2,3,4,4,3,1091a,884,325,108.75,20
BROSTE,0,0,0,0,0,2,0,0,0,0,0,0,1091a,884,325,108.75,20
BSC,0,2,0,0,0,0,0,0,0,0,0,0,1091a,884,325,108.75,20
CARGEY,0,5,0,6,0,0,3,0,0,0,0,0,1091a,884,325,108.75,20
CASLUT,0,0,0,0,1,0,0,0,0,0,0,0,1091a,884,325,108.75,20
CERASTIUM,0,0,0,0,0,0,0,1,0,0,0,0,1091a,884,325,108.75,20
CLAPER,0,0,0,0,0,0,0,1,0,0,0,0,1091a,884,325,108.75,20
EPIBRA,0,0,0,0,0,0,0,1,0,0,0,0,1091a,884,325,108.75,20
FESIDA,1,0,3,0,0,3,0,0,0,0,0,0,1091a,884,325,108.75,20
GALAPA,0,0,0,0,1,0,0,0,0,0,0,0,1091a,884,325,108.75,20
GEUTRI,0,3,4,0,0,2,4,3,4,0,0,0,1091a,884,325,108.75,20
HELUNI,2,0,0,0,0,0,0,0,0,0,0,0,1091a,884,325,108.75,20
HIESCO,1,0,0,0,1,0,0,0,0,0,0,3,1091a,884,325,108.75,20
KOEMAC,0,0,0,0,0,0,1,0,0,0,0,0,1091a,884,325,108.75,20
LACSER,0,0,0,0,0,0,0,1,0,0,0,0,1091a,884,325,108.75,20
LOMDIS,0,0,0,2,0,1,0,0,1,0,0,0,1091a,884,325,108.75,20
LOMTRI,0,0,2,1,1,0,0,0,1,0,0,0,1091a,884,325,108.75,20
LT,3,6,6,6,6,6,6,6,6,6,6,6,1091a,884,325,108.75,20
LUPSER,0,2,0,0,0,1,2,0,0,0,1,0,1091a,884,325,108.75,20
MICGRA,0,0,0,0,0,0,0,0,0,0,1,0,1091a,884,325,108.75,20
MYOARV,1,0,0,0,0,1,1,2,1,2,2,2,1091a,884,325,108.75,20
NF,5,4,6,4,3,5,4,4,5,2,2,3,1091a,884,325,108.75,20
NGRS,1,5,4,6,3,4,4,3,0,0,0,0,1091a,884,325,108.75,20
NNF,1,0,0,0,0,1,1,2,1,2,3,2,1091a,884,325,108.75,20
NNGRS,1,0,0,0,5,2,0,2,3,4,5,3,1091a,884,325,108.75,20
PHLLON,0,0,0,0,0,0,0,2,3,0,2,2,1091a,884,325,108.75,20
POTGRA,0,0,0,4,1,4,1,0,0,0,0,0,1091a,884,325,108.75,20
PSESPI,1,0,3,1,3,3,3,3,0,0,0,0,1091a,884,325,108.75,20
RK,0,0,0,6,0,0,0,0,0,0,0,0,1091a,884,325,108.75,20
ROSWOO,0,0,0,0,0,0,0,3,3,4,1,0,1091a,884,325,108.75,20
SENINT,1,0,1,0,0,1,0,0,1,2,0,0,1091a,884,325,108.75,20
SHRB,0,0,0,1,1,0,1,3,4,6,3,4,1091a,884,325,108.75,20
SOLMIS,4,3,0,0,0,0,0,0,0,0,0,0,1091a,884,325,108.75,20
SYMALB,0,0,0,1,1,0,1,3,4,6,3,4,1091a,884,325,108.75,20
VALLOC,0,0,0,0,0,0,0,0,0,0,3,0,1091a,884,325,108.75,20
VENDUB,1,0,0,0,5,0,0,0,1,0,3,0,1091a,884,325,108.75,20
WYEAMP,0,0,1,0,1,3,0,0,0,0,0,0,1091a,884,325,108.75,20
AGOHET,0,0,0,0,0,0,0,0,1,0,0,0,1091b,845,316,2.5,20
AMAALN,0,0,0,0,0,0,0,0,0,3,0,0,1091b,845,316,2.5,20
BALSAG,0,0,0,0,0,0,0,0,0,0,3,0,1091b,845,316,2.5,20
BG,0,0,0,0,0,0,0,0,0,0,1,0,1091b,845,316,2.5,20
BRAALB,0,0,0,0,0,0,0,0,2,1,0,0,1091b,845,316,2.5,20
BROHOR,0,0,0,0,0,0,0,0,1,0,0,0,1091b,845,316,2.5,20
BRORAC,0,0,0,0,0,0,0,2,1,2,3,3,1091b,845,316,2.5,20
BROSTE,0,0,0,0,0,0,0,0,0,0,3,0,1091b,845,316,2.5,20
BROTEC,0,0,0,0,0,0,0,0,0,3,2,0,1091b,845,316,2.5,20
BSC,0,0,0,0,0,0,0,0,2,2,0,0,1091b,845,316,2.5,20
CYSFRA,0,0,0,0,0,0,0,1,3,1,0,0,1091b,845,316,2.5,20
DELNUT,0,0,0,0,0,0,0,0,1,1,2,1,1091b,845,316,2.5,20
EPIBRA,0,0,0,0,0,0,0,0,0,1,0,1,1091b,845,316,2.5,20
GEUTRI,0,0,0,0,0,0,0,0,0,0,0,2,1091b,845,316,2.5,20
HEUCYL,0,0,0,0,1,4,0,0,4,0,0,0,1091b,845,316,2.5,20
HYDCAP,0,0,0,0,0,0,0,0,0,1,0,0,1091b,845,316,2.5,20
LACSER,0,0,0,0,0,0,0,0,0,1,0,1,1091b,845,316,2.5,20
LOMDIS,0,0,0,0,0,0,0,3,1,0,3,0,1091b,845,316,2.5,20
LT,0,0,0,0,0,0,0,3,4,6,6,5,1091b,845,316,2.5,20
MELBUL,0,0,0,0,0,0,0,1,0,0,0,0,1091b,845,316,2.5,20
MICGRA,0,0,0,0,0,0,0,0,0,0,1,0,1091b,845,316,2.5,20
NF,0,0,0,0,1,4,0,3,5,4,4,3,1091b,845,316,2.5,20
NGRS,0,0,0,0,0,1,0,1,2,0,0,1,1091b,845,316,2.5,20
NNF,0,0,0,0,0,0,0,0,0,1,2,1,1091b,845,316,2.5,20
NNGRS,0,0,0,0,0,0,0,3,3,4,4,5,1091b,845,316,2.5,20
PHLLON,0,0,0,0,0,0,0,2,2,3,0,0,1091b,845,316,2.5,20
POASEC,0,0,0,0,0,1,0,0,0,0,0,0,1091b,845,316,2.5,20
PSESPI,0,0,0,0,0,0,0,0,2,0,0,1,1091b,845,316,2.5,20
RK,6,6,6,6,6,5,6,5,0,0,2,4,1091b,845,316,2.5,20
SHRB,0,0,0,0,0,0,0,3,3,4,2,0,1091b,845,316,2.5,20
SYMALB,0,0,0,0,0,0,0,3,3,3,2,0,1091b,845,316,2.5,20
SYNRUR,0,0,0,0,0,0,0,0,0,1,0,0,1091b,845,316,2.5,20
UNK4,0,0,0,0,0,0,0,0,0,0,0,1,1091b,845,316,2.5,20
VALLOC,0,0,0,0,0,0,0,0,0,0,2,0,1091b,845,316,2.5,20
VENDUB,0,0,0,0,0,0,0,1,2,2,0,4,1091b,845,316,2.5,20
ACHMIL,0,0,0,0,1,0,2,1,0,0,0,2,1091c,864,311,6.25,25
AGORET,0,0,0,0,1,0,0,0,0,0,0,0,1091c,864,311,6.25,25
ALLACU,1,0,0,0,0,1,0,0,0,0,0,0,1091c,864,311,6.25,25
AMAALN,0,0,0,0,0,0,0,0,0,5,0,0,1091c,864,311,6.25,25
BALSAG,2,0,0,0,0,0,0,2,0,0,0,0,1091c,864,311,6.25,25
BG,0,0,1,0,0,5,1,1,1,0,0,0,1091c,864,311,6.25,25
BRAALB,4,2,0,1,0,0,0,0,3,2,3,1,1091c,864,311,6.25,25
BROHOR,1,1,1,2,2,2,2,3,2,1,1,0,1091c,864,311,6.25,25
BROTEC,0,0,0,0,0,0,0,0,0,1,0,0,1091c,864,311,6.25,25
BRYARG,0,0,2,0,0,0,2,0,0,0,0,0,1091c,864,311,6.25,25
BSC,4,3,3,1,0,0,2,0,3,2,3,1,1091c,864,311,6.25,25
CARGEY,1,0,0,0,0,0,0,0,0,2,1,0,1091c,864,311,6.25,25
CLAPER,0,0,0,0,0,0,0,0,0,1,1,0,1091c,864,311,6.25,25
CLAPOC,0,0,1,0,0,0,1,0,0,0,0,0,1091c,864,311,6.25,25
COLPAR,0,0,0,0,0,0,0,0,1,0,0,0,1091c,864,311,6.25,25
CYSFRA,0,0,0,0,0,0,0,0,0,0,2,1,1091c,864,311,6.25,25
DRAVER,0,0,0,0,0,1,0,0,0,0,0,0,1091c,864,311,6.25,25
FESIDA,1,2,2,2,0,0,2,1,0,0,0,0,1091c,864,311,6.25,25
GALAPA,0,0,0,1,0,0,0,0,1,0,0,0,1091c,864,311,6.25,25
GEUTRI,3,4,2,0,0,0,0,0,0,0,0,0,1091c,864,311,6.25,25
HEUCYL,2,0,0,0,0,0,0,1,0,0,0,0,1091c,864,311,6.25,25
HIESCO,0,0,0,0,0,0,2,0,2,0,0,1,1091c,864,311,6.25,25
HOLUMB,0,0,1,0,0,0,0,0,0,0,0,0,1091c,864,311,6.25,25
KOEMAC,0,0,0,0,0,0,0,0,1,0,0,0,1091c,864,311,6.25,25
LITGLA,0,0,0,1,0,0,0,0,0,0,0,0,1091c,864,311,6.25,25
LITRUD,0,0,0,0,0,0,0,0,1,0,0,0,1091c,864,311,6.25,25
LOMDIS,3,0,0,0,2,0,0,0,0,4,4,0,1091c,864,311,6.25,25
LT,2,4,4,6,2,2,5,5,5,4,3,2,1091c,864,311,6.25,25
MYOARV,0,1,0,0,0,0,0,0,0,0,0,0,1091c,864,311,6.25,25
NF,5,4,3,2,2,2,3,4,4,4,5,3,1091c,864,311,6.25,25
NGRS,3,4,3,3,1,2,3,1,1,2,1,2,1091c,864,311,6.25,25
NNF,0,1,1,0,0,1,0,0,0,0,0,0,1091c,864,311,6.25,25
NNGRS,1,1,2,2,2,4,2,3,2,1,1,1,1091c,864,311,6.25,25
POTGRA,0,0,0,0,0,0,0,3,1,0,0,0,1091c,864,311,6.25,25
PSESPI,2,3,2,1,1,2,2,1,1,0,0,2,1091c,864,311,6.25,25
RK,1,0,2,0,5,0,2,2,0,0,3,5,1091c,864,311,6.25,25
SHRB,0,0,0,0,0,0,1,0,0,6,0,2,1091c,864,311,6.25,25
SYMALB,0,0,0,0,0,0,1,0,0,3,0,2,1091c,864,311,6.25,25
SYNRUR,1,2,0,0,0,0,0,0,0,0,0,0,1091c,864,311,6.25,25
VENDUB,0,1,1,1,1,3,1,1,0,0,0,1,1091c,864,311,6.25,25
WYEAMP,1,0,2,2,0,2,1,0,3,0,4,0,1091c,864,311,6.25,25
ZIGVEN,0,0,0,0,0,0,0,0,1,0,0,0,1091c,864,311,6.25,25
AGOSTO,0,0,0,0,0,2,0,0,0,0,0,0,1091d,825,310,15.25,16
BALSAG,3,0,0,0,0,0,0,0,0,0,0,0,1091d,825,310,15.25,16
BG,0,0,0,0,0,0,0,0,2,3,0,0,1091d,825,310,15.25,16
BROHOR,2,2,0,2,2,2,0,0,0,0,0,0,1091d,825,310,15.25,16
BROMAR,0,0,0,0,0,0,0,1,0,0,0,0,1091d,825,310,15.25,16
BSC,0,0,0,4,0,0,0,0,0,0,0,0,1091d,825,310,15.25,16
CAMQUA,0,0,1,0,1,1,1,0,0,2,1,1,1091d,825,310,15.25,16
CERPUR,0,0,0,4,0,0,0,0,0,0,0,0,1091d,825,310,15.25,16
CONMAC,0,0,0,1,0,0,0,0,0,0,0,0,1091d,825,310,15.25,16
EPIBRA,0,0,0,0,0,1,0,1,0,0,0,0,1091d,825,310,15.25,16
EPITOR,0,0,0,0,0,0,0,0,1,0,0,0,1091d,825,310,15.25,16
HYPPER,0,0,0,0,0,1,0,0,0,0,0,0,1091d,825,310,15.25,16
IRIMIS,0,0,0,2,0,0,0,0,2,4,0,0,1091d,825,310,15.25,16
JUNTEN,0,0,0,0,0,0,0,0,1,0,0,0,1091d,825,310,15.25,16
LACSER,2,3,3,0,0,0,0,0,1,0,0,0,1091d,825,310,15.25,16
LOTUNI,0,0,0,0,0,2,0,0,1,0,0,0,1091d,825,310,15.25,16
LT,6,6,6,2,6,6,6,6,5,2,6,6,1091d,825,310,15.25,16
NF,3,0,1,2,2,3,3,2,2,5,3,4,1091d,825,310,15.25,16
NGRS,3,1,2,1,1,2,0,1,1,0,0,0,1091d,825,310,15.25,16
NNF,2,3,3,1,0,1,0,0,1,0,0,0,1091d,825,310,15.25,16
NNGRS,5,6,5,2,6,2,4,6,0,3,3,3,1091d,825,310,15.25,16
PERGAI,0,0,0,0,1,0,1,0,0,0,0,0,1091d,825,310,15.25,16
POAPRA,2,0,0,0,2,0,0,0,0,0,0,3,1091d,825,310,15.25,16
PSESPI,3,1,2,1,1,0,0,0,0,0,0,0,1091d,825,310,15.25,16
RK,0,0,0,5,0,2,0,0,3,0,0,0,1091d,825,310,15.25,16
ROSWOO,0,1,0,2,0,0,0,0,0,1,3,4,1091d,825,310,15.25,16
SHRB,1,1,2,2,2,1,4,0,0,1,3,4,1091d,825,310,15.25,16
SYMALB,1,0,2,1,2,1,4,0,0,0,0,0,1091d,825,310,15.25,16
SYMSPA,0,0,0,0,0,0,3,2,0,3,3,4,1091d,825,310,15.25,16
VENDUB,4,5,5,1,5,5,4,6,6,3,3,1,1091d,825,310,15.25,16
ALLIUM,0,0,0,0,0,0,0,0,2,0,0,0,1100a,726,218,50.5,16
AMSMEN,3,0,0,1,2,2,0,3,0,3,3,2,1100a,726,218,50.5,16
BRORAC,0,1,0,0,0,0,0,0,0,0,0,0,1100a,726,218,50.5,16
BROSTE,4,1,0,3,4,5,2,1,4,0,0,0,1100a,726,218,50.5,16
BROTEC,0,0,3,0,0,0,3,1,0,3,2,2,1100a,726,218,50.5,16
CLAPER,1,4,2,4,2,4,1,1,0,0,0,0,1100a,726,218,50.5,16
COLLIN,0,0,0,0,0,0,0,0,0,1,0,1,1100a,726,218,50.5,16
DESSOP,0,0,0,0,0,0,0,0,0,0,1,0,1100a,726,218,50.5,16
EPIBRA,0,0,0,0,0,0,0,0,1,1,1,1,1100a,726,218,50.5,16
GALAPA,2,0,0,2,0,2,3,1,0,0,0,0,1100a,726,218,50.5,16
LACSER,1,0,0,0,0,0,0,0,1,2,2,3,1100a,726,218,50.5,16
LT,6,6,4,6,6,6,6,6,6,6,6,6,1100a,726,218,50.5,16
NF,2,4,2,4,2,4,3,1,2,1,1,1,1100a,726,218,50.5,16
NGRS,0,0,0,0,0,0,0,0,0,0,0,6,1100a,726,218,50.5,16
NNF,4,0,0,0,2,2,0,3,1,3,4,4,1100a,726,218,50.5,16
NNGRS,4,1,3,3,4,5,4,2,5,6,6,3,1100a,726,218,50.5,16
PINPON,6,6,6,6,6,6,6,6,6,6,0,0,1100a,726,218,50.5,16
PSESPI,0,0,0,0,0,0,0,0,0,0,0,6,1100a,726,218,50.5,16
SHRB,6,6,6,6,6,6,6,6,6,6,0,0,1100a,726,218,50.5,16
TAECAP,0,0,0,0,0,0,1,1,3,1,0,0,1100a,726,218,50.5,16
TRADUB,0,0,0,0,0,0,0,0,0,0,2,0,1100a,726,218,50.5,16
UNK5,3,0,0,0,0,0,0,0,0,0,0,0,1100a,726,218,50.5,16
VENDUB,0,0,0,0,0,0,0,0,0,2,5,3,1100a,726,218,50.5,16
VULMYU,0,0,0,0,0,0,0,0,0,6,3,0,1100a,726,218,50.5,16
ACHMIL,1,0,1,0,1,1,0,0,0,0,0,0,1100b,715,237,105,13
ASTER,0,0,0,1,0,0,0,0,0,0,0,0,1100b,715,237,105,13
BRAARV,1,0,1,0,0,0,0,0,0,0,0,0,1100b,715,237,105,13
BROHOR,0,1,0,0,0,0,0,0,0,0,0,0,1100b,715,237,105,13
BROMAR,3,2,3,2,0,0,1,0,1,0,0,0,1100b,715,237,105,13
CIRBRE,0,1,0,0,2,3,0,0,0,2,1,0,1100b,715,237,105,13
CYNOFF,0,3,1,0,0,0,0,0,0,0,0,0,1100b,715,237,105,13
ELYTRA,0,1,1,0,0,0,0,0,0,0,0,0,1100b,715,237,105,13
FESIDA,0,0,1,2,5,4,6,3,1,3,3,0,1100b,715,237,105,13
GALBOR,0,0,0,0,1,0,0,1,1,0,1,0,1100b,715,237,105,13
GERVIS,0,0,0,0,0,1,1,4,3,1,2,4,1100b,715,237,105,13
GEUTRI,0,0,0,0,0,0,0,0,0,0,1,0,1100b,715,237,105,13
HIESCO,0,0,0,0,0,0,0,2,2,1,0,2,1100b,715,237,105,13
HYPPER,1,0,0,0,0,1,0,0,0,0,1,0,1100b,715,237,105,13
LT,6,6,5,6,6,6,6,6,6,6,6,6,1100b,715,237,105,13
LUPSER,1,0,0,0,0,0,0,1,1,0,0,0,1100b,715,237,105,13
MAHREP,4,3,4,3,2,2,0,1,1,3,3,3,1100b,715,237,105,13
NF,4,3,4,3,4,4,3,5,5,4,5,5,1100b,715,237,105,13
NGRS,3,2,3,3,5,4,6,3,4,3,5,4,1100b,715,237,105,13
NNF,1,3,1,0,0,1,0,0,0,0,1,0,1100b,715,237,105,13
NNGRS,3,4,1,4,1,2,0,0,0,1,1,0,1100b,715,237,105,13
POAPRA,3,2,0,4,1,2,0,0,0,0,0,0,1100b,715,237,105,13
POTGRA,0,0,0,0,0,1,2,1,0,0,2,0,1100b,715,237,105,13
PSESPI,0,0,0,0,0,0,0,1,3,1,3,4,1100b,715,237,105,13
ROSWOO,0,1,0,0,0,0,1,0,0,0,0,1,1100b,715,237,105,13
SHRB,3,3,4,3,1,1,1,1,0,0,1,1,1100b,715,237,105,13
SOLMIS,0,0,0,1,0,0,0,1,1,2,0,0,1100b,715,237,105,13
SYMALB,3,3,4,3,1,1,0,1,0,0,1,0,1100b,715,237,105,13
VENDUB,1,3,0,0,0,0,0,0,0,1,1,0,1100b,715,237,105,13
VIOLA,0,0,0,0,0,0,1,0,0,0,0,0,1100b,715,237,105,13
ACHMIL,0,0,0,0,0,0,0,0,0,0,0,1,1100c,729,275,58,19
ASTARR,0,0,0,0,0,0,0,0,0,2,4,0,1100c,729,275,58,19
BALSAG,0,3,0,1,3,0,0,0,2,0,0,0,1100c,729,275,58,19
BG,0,0,2,0,1,1,0,0,0,1,0,0,1100c,729,275,58,19
BRAALB,0,1,0,2,1,1,0,0,1,2,4,1,1100c,729,275,58,19
BSC,0,1,0,2,1,1,0,0,1,2,4,1,1100c,729,275,58,19
CASMIN,0,0,0,0,1,0,0,0,0,1,0,0,1100c,729,275,58,19
CRADOU,0,0,0,0,0,0,0,2,0,0,0,0,1100c,729,275,58,19
FESIDA,4,5,5,5,4,6,5,6,5,6,6,6,1100c,729,275,58,19
GALBOR,0,0,0,0,0,0,1,0,0,0,0,0,1100c,729,275,58,19
HELUNI,4,0,1,2,3,2,3,2,3,1,2,1,1100c,729,275,58,19
HIESCO,1,0,2,2,1,1,1,1,1,0,1,0,1100c,729,275,58,19
KOEMAC,0,0,0,0,0,0,0,0,0,1,0,0,1100c,729,275,58,19
LOMTRI,0,1,1,0,0,0,0,0,0,0,0,0,1100c,729,275,58,19
LT,6,6,5,6,6,5,6,6,6,6,5,6,1100c,729,275,58,19
LUPSER,0,0,2,0,0,1,0,0,0,0,0,0,1100c,729,275,58,19
NF,4,4,4,4,5,3,3,2,4,2,4,2,1100c,729,275,58,19
NGRS,4,5,5,5,5,6,5,6,5,6,6,6,1100c,729,275,58,19
NNGRS,1,1,0,0,1,0,0,0,0,0,0,0,1100c,729,275,58,19
POTGRA,0,0,0,0,2,0,0,0,1,0,0,0,1100c,729,275,58,19
PRYLIA,0,2,0,0,0,0,0,0,0,0,0,2,1100c,729,275,58,19
SHRB,0,0,0,0,0,0,0,2,0,0,0,0,1100c,729,275,58,19
VENDUB,1,1,0,0,1,0,0,0,0,0,0,0,1100c,729,275,58,19
ACHMIL,1,0,0,0,2,0,0,0,1,0,1,0,1211a,948,177,28.75,19
AGOSERIS,0,0,0,0,0,0,0,0,0,0,1,0,1211a,948,177,28.75,19
ARRELA,0,0,0,1,0,3,1,0,0,0,0,0,1211a,948,177,28.75,19
BG,3,1,0,0,1,1,1,1,2,3,0,0,1211a,948,177,28.75,19
BRAALB,1,1,0,0,0,0,0,0,0,0,0,0,1211a,948,177,28.75,19
BRORAC,0,2,2,4,0,3,2,0,3,1,4,0,1211a,948,177,28.75,19
BROSTE,0,0,0,1,3,0,1,0,3,0,0,0,1211a,948,177,28.75,19
BROTEC,0,0,1,0,0,0,0,2,0,0,0,0,1211a,948,177,28.75,19
BSC,1,4,6,5,4,4,0,5,4,2,0,0,1211a,948,177,28.75,19
CAMPRA,0,0,0,0,1,0,0,0,0,0,0,0,1211a,948,177,28.75,19
CENSOL,0,0,1,0,0,0,0,0,0,0,0,0,1211a,948,177,28.75,19
CLAPOC,0,0,0,1,1,0,0,2,1,1,0,0,1211a,948,177,28.75,19
COLLIN,0,1,1,2,1,2,1,0,1,1,0,0,1211a,948,177,28.75,19
EPIBRA,2,1,0,2,1,1,2,1,1,1,1,0,1211a,948,177,28.75,19
LACSER,0,0,0,0,0,0,1,0,0,0,0,0,1211a,948,177,28.75,19
LOMDIS,0,0,0,0,0,1,1,0,1,3,3,6,1211a,948,177,28.75,19
LOMFOE,0,0,1,2,1,0,0,0,0,0,0,0,1211a,948,177,28.75,19
LT,4,5,3,5,4,5,6,5,4,4,6,6,1211a,948,177,28.75,19
NF,2,1,2,3,3,2,3,1,2,3,4,6,1211a,948,177,28.75,19
NGRS,0,2,0,0,0,0,0,1,1,1,0,1,1211a,948,177,28.75,19
NNF,0,0,1,0,0,0,1,0,1,0,0,0,1211a,948,177,28.75,19
NNGRS,5,5,6,5,5,5,6,6,5,3,5,3,1211a,948,177,28.75,19
PELDID,0,0,0,0,0,0,0,1,0,0,0,0,1211a,948,177,28.75,19
POASEC,0,0,0,0,0,0,0,0,1,0,0,0,1211a,948,177,28.75,19
PSESPI,0,2,0,0,0,0,0,1,1,1,0,1,1211a,948,177,28.75,19
RK,1,1,1,0,1,0,2,1,0,1,0,0,1211a,948,177,28.75,19
SHRB,0,0,0,0,0,0,0,0,0,4,3,2,1211a,948,177,28.75,19
SYMALB,0,0,0,0,0,0,0,0,0,4,2,2,1211a,948,177,28.75,19
SYNRUR,1,4,6,5,4,4,0,5,4,2,0,0,1211a,948,177,28.75,19
TAECAP,0,0,0,0,0,0,2,3,1,0,0,0,1211a,948,177,28.75,19
VACMEM,0,0,0,0,0,0,0,0,0,0,2,0,1211a,948,177,28.75,19
VALLOC,0,0,0,0,0,0,0,0,1,0,0,0,1211a,948,177,28.75,19
VENDUB,4,4,5,2,4,4,6,4,3,3,3,3,1211a,948,177,28.75,19
VULMYU,2,3,0,0,0,0,3,0,0,0,0,1,1211a,948,177,28.75,19
ACHMIL,0,1,0,0,0,0,0,0,0,1,2,0,1211b,941,56,111,30
AGOSERIS,1,0,0,0,0,0,0,0,1,0,0,0,1211b,941,56,111,30
ARRELA,3,4,3,4,4,3,3,5,5,3,3,2,1211b,941,56,111,30
BG,3,0,0,0,0,0,0,0,0,0,4,0,1211b,941,56,111,30
BRAALB,0,0,0,0,0,0,0,0,0,0,1,0,1211b,941,56,111,30
BSC,0,0,0,0,0,0,0,0,0,0,1,0,1211b,941,56,111,30
CARGEY,0,0,0,0,0,3,0,0,0,0,0,0,1211b,941,56,111,30
CEASAN,0,5,2,0,3,0,0,0,0,0,0,0,1211b,941,56,111,30
CLAPER,1,0,2,1,1,1,0,0,0,0,0,0,1211b,941,56,111,30
DESELO,0,0,0,0,0,0,0,0,0,3,3,0,1211b,941,56,111,30
EPIBRA,0,0,0,0,0,0,0,0,0,0,1,0,1211b,941,56,111,30
GALAPA,1,0,3,2,1,1,1,0,0,0,0,0,1211b,941,56,111,30
LOMDIS,0,0,0,0,4,0,2,0,2,0,0,4,1211b,941,56,111,30
LT,5,6,6,6,6,6,6,6,6,6,3,6,1211b,941,56,111,30
MAHREP,0,0,0,0,0,0,0,0,3,3,0,3,1211b,941,56,111,30
MYOARV,1,1,3,0,0,0,0,0,0,0,0,0,1211b,941,56,111,30
NF,2,1,4,2,4,1,2,0,3,3,3,5,1211b,941,56,111,30
NGRS,0,0,0,0,0,3,0,0,0,3,3,0,1211b,941,56,111,30
NNF,1,1,3,0,0,0,0,0,0,0,0,0,1211b,941,56,111,30
NNGRS,3,4,3,4,4,4,3,5,5,3,3,2,1211b,941,56,111,30
PHYMAL,4,4,5,5,5,6,6,3,5,6,3,6,1211b,941,56,111,30
ROSNUT,0,0,1,0,0,0,0,0,2,0,0,0,1211b,941,56,111,30
SENINT,1,0,1,0,0,0,0,0,0,0,1,0,1211b,941,56,111,30
SHRB,4,6,5,6,6,6,6,5,6,6,5,6,1211b,941,56,111,30
SYMALB,3,3,3,3,0,3,3,4,3,1,4,3,1211b,941,56,111,30
AMSMEN,0,0,1,0,0,0,0,0,0,0,0,0,1211c,872,154,90.25,26
APEINT,0,0,0,0,1,0,2,0,0,0,0,1,1211c,872,154,90.25,26
APOAND,0,0,0,0,0,0,0,1,0,0,0,0,1211c,872,154,90.25,26
BRORAC,0,0,0,0,0,0,0,1,0,1,2,1,1211c,872,154,90.25,26
BROSTE,2,0,0,0,0,0,0,0,0,0,0,1,1211c,872,154,90.25,26
BROTEC,3,1,0,1,2,1,3,1,3,0,3,1,1211c,872,154,90.25,26
CENSOL,4,2,3,1,3,2,2,2,2,4,4,2,1211c,872,154,90.25,26
CIRARV,0,0,2,0,0,0,0,0,0,0,0,0,1211c,872,154,90.25,26
GALAPA,1,1,0,0,0,0,0,0,0,0,0,0,1211c,872,154,90.25,26
GERPUS,1,2,3,0,4,3,3,4,3,3,3,0,1211c,872,154,90.25,26
LACSER,0,1,0,0,0,0,0,0,1,0,0,0,1211c,872,154,90.25,26
LOMDIS,1,0,3,4,0,0,0,0,0,0,0,0,1211c,872,154,90.25,26
LT,6,6,6,6,6,6,6,6,6,6,6,6,1211c,872,154,90.25,26
MADGRA,0,0,0,0,0,1,1,0,1,0,0,0,1211c,872,154,90.25,26
NF,1,1,3,4,0,1,1,1,1,0,0,0,1211c,872,154,90.25,26
NNF,5,5,6,6,6,5,6,6,6,6,6,6,1211c,872,154,90.25,26
NNGRS,5,3,3,3,4,4,5,4,5,4,5,2,1211c,872,154,90.25,26
VENDUB,0,0,0,0,0,0,1,1,2,2,2,0,1211c,872,154,90.25,26
VICVIL,3,4,4,6,4,4,5,5,6,4,4,6,1211c,872,154,90.25,26
VULMYU,4,3,3,3,3,4,4,4,3,4,3,1,1211c,872,154,90.25,26
ARRELA,6,6,5,6,6,6,6,6,6,6,5,4,1211d,916,164,125,20
CONARV,1,2,0,1,0,0,0,2,2,0,0,0,1211d,916,164,125,20
GERVIS,0,2,0,0,0,0,0,0,0,0,0,0,1211d,916,164,125,20
LT,6,6,6,6,6,6,6,6,6,6,6,6,1211d,916,164,125,20
NF,0,2,0,0,0,0,0,0,0,0,0,0,1211d,916,164,125,20
NNF,1,2,1,1,1,0,1,2,2,2,0,1,1211d,916,164,125,20
NNGRS,6,6,6,6,6,6,6,6,6,6,6,6,1211d,916,164,125,20
VALLOC,0,0,0,0,0,0,1,0,0,0,0,0,1211d,916,164,125,20
VENDUB,5,4,4,4,4,5,4,5,3,4,4,5,1211d,916,164,125,20
VICVIL,0,0,1,0,1,0,0,0,0,2,0,1,1211d,916,164,125,20
ARRELA,6,6,5,6,6,6,6,6,6,6,5,4,1211e,872,184,125,17
CONARV,1,2,0,1,0,0,0,2,2,0,0,0,1211e,872,184,125,17
